,,,,,,,
,,,,,,,
,,STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
,,55,ARM,CTCP Xuất nhập khẩu Hàng không,Vận tải,HNX,"3,111,283"
,,56,ART,CTCP Chứng khoán BOS,Dịch vụ tài chính,UPCoM,"96,922,509"
,,57,ASA,CTCP ASA,Tư liệu sản xuất,UPCoM,"10,000,000"
,,58,ASG,CTCP Tập đoàn ASG,Vận tải,HOSE,"90,784,669"
,,59,ASM,CTCP Tập đoàn Sao Mai,"Thực phẩm, đồ uống và thuốc lá",HOSE,"370,178,250"
,,60,ASP,CTCP Tập đoàn Dầu khí An Pha,Dịch vụ tiện ích,HOSE,"37,339,929"
,,61,AST,CTCP Dịch vụ Hàng không Taseco,Vận tải,HOSE,"45,000,000"
,,62,ATA,CTCP Ntaco,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"11,999,998"
,,63,ATB,CTCP An Thịnh,Tư liệu sản xuất,UPCoM,"13,884,000"
,,64,ATG,CTCP An Trường An,Nguyên vật liệu,UPCoM,"15,220,000"
,,65,ATS,CTCP Tập Đoàn Dược Phẩm Atesco,Dịch vụ tiêu dùng,HNX,"3,500,000"
,,66,AVC,CTCP Thủy điện A Vương,Dịch vụ tiện ích,UPCoM,"75,052,052"
,,67,AVF,CTCP Việt An,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"43,338,000"
,,68,AVG,CTCP Phân bón Quốc tế Âu Việt,Nguyên vật liệu,UPCoM,"13,600,000"
,,69,BAB,Ngân hàng TMCP Bắc Á,Tổ chức tín dụng,HNX,"895,933,642"
,,70,BAF,CTCP Nông nghiệp BAF Việt Nam,"Thực phẩm, đồ uống và thuốc lá",HOSE,"239,021,642"
,,71,BAL,CTCP Bao bì Bia - Rượu - Nước giải khát,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"2,000,000"
,,72,BAX,CTCP Thống Nhất,Phát triển và quản lý bất động sản,HNX,"8,200,000"
,,73,BBC,CTCP Bibica,"Thực phẩm, đồ uống và thuốc lá",HOSE,"18,752,687"
,,74,BBH,CTCP Bao bì Hoàng Thạch,Nguyên vật liệu,UPCoM,"2,047,932"
,,75,BBM,CTCP Bia Hà Nội - Nam Định,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"2,000,000"
,,76,BBS,CTCP VICEM Bao bì Bút Sơn,Nguyên vật liệu,HNX,"6,000,000"
,,77,BBT,CTCP Bông Bạch Tuyết,Dịch vụ và thiết bị chăm sóc sức khỏe,UPCoM,"9,800,000"
,,78,BCA,CTCP B.C.H,Nguyên vật liệu,UPCoM,"19,000,000"
,,79,BCB,CTCP 397,Năng lượng,UPCoM,"5,700,000"
,,80,BCC,CTCP Xi măng Bỉm Sơn,Nguyên vật liệu,HNX,"123,209,812"
,,81,BCE,CTCP Xây dựng và Giao thông Bình Dương,Phát triển và quản lý bất động sản,HOSE,"35,000,000"
,,82,BCF,CTCP Thực phẩm Bích Chi,"Thực phẩm, đồ uống và thuốc lá",HNX,"33,897,213"
,,83,BCG,CTCP Tập đoàn Bamboo Capital,Tư liệu sản xuất,HOSE,"880,210,644"
,,84,BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP,Phát triển và quản lý bất động sản,HOSE,"1,035,000,000"
,,85,BCO,CTCP Xây dựng Bình Phước,Tư liệu sản xuất,UPCoM,"5,631,895"
,,86,BCP,CTCP Dược ENLIE,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"6,000,000"
,,87,BCR,CTCP BCG Land,Phát triển và quản lý bất động sản,UPCoM,"473,799,913"
,,88,BCV,CTCP Du lịch và Thương mại Bằng Giang Cao Bằng - Vimico,Dịch vụ tiêu dùng,UPCoM,"1,800,000"
,,89,BDB,CTCP Sách và Thiết bị Bình Định,Truyền thông và giải trí,HNX,"1,126,474"
,,90,BDG,CTCP May mặc Bình Dương,Hàng tiêu dùng và trang trí,UPCoM,"24,799,920"
,,91,BDT,CTCP Xây lắp và Vật liệu Xây dựng Đồng Tháp,Nguyên vật liệu,UPCoM,"38,600,000"
,,92,BDW,CTCP Cấp thoát nước Bình Định,Dịch vụ tiện ích,UPCoM,"12,410,800"
,,93,BED,CTCP Sách và Thiết bị Trường học Đà Nẵng,Truyền thông và giải trí,HNX,"3,000,000"
,,94,BEL,CTCP Điện tử Biên Hòa,Công nghệ phần cứng và thiết bị,UPCoM,"6,000,000"
,,95,BFC,CTCP Phân bón Bình Điền,Nguyên vật liệu,HOSE,"57,167,993"
,,96,BGE,CTCP BCG Energy,Dịch vụ tiện ích,UPCoM,"730,000,000"
,,97,BGW,CTCP Nước sạch Bắc Giang,Dịch vụ tiện ích,UPCoM,"18,149,446"
,,98,BHA,CTCP Thủy điện Bắc Hà,Dịch vụ tiện ích,UPCoM,"66,000,000"
,,99,BHC,CTCP Bê tông Biên Hòa,Nguyên vật liệu,UPCoM,"4,500,000"
,,100,BHG,CTCP Chè Biển Hồ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"8,935,643"
,,101,BHI,Tổng Công ty cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm,UPCoM,"100,000,000"
,,102,BHK,CTCP Bia Hà Nội - Kim Bài,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"3,986,000"
,,103,BHN,Tổng Công ty cổ phần Bia - Rượu - Nước giải khát Hà Nội,"Thực phẩm, đồ uống và thuốc lá",HOSE,"231,800,000"
,,104,BHP,CTCP Bia Hà Nội - Hải Phòng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"9,179,290"
,,105,BIC,Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm,HOSE,"117,276,895"
,,106,BID,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Tổ chức tín dụng,HOSE,"5,700,435,900"
,,107,BIG,CTCP Big Invest Group,Phân phối và bán lẻ hàng lâu bền,UPCoM,"5,000,000"
,,108,BII,CTCP Louis Land,Phát triển và quản lý bất động sản,UPCoM,"57,680,000"
,,109,BIO,CTCP Vắc xin và Sinh phẩm Nha Trang,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"8,562,000"
,,110,BKC,CTCP Khoáng sản Bắc Kạn,Nguyên vật liệu,HNX,"11,737,728"
,,111,BKG,CTCP Đầu tư BKG Việt Nam,Nguyên vật liệu,HOSE,"71,609,020"
,,112,BLF,CTCP Thủy sản Bạc Liêu,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"11,500,000"
,,113,BLI,Tổng Công ty cổ phần Bảo hiểm Bảo Long,Bảo hiểm,UPCoM,"60,000,000"
,,114,BLN,CTCP Vận tải và Dịch vụ Liên Ninh,Vận tải,UPCoM,"5,000,000"
,,115,BLT,CTCP Lương thực Bình Định,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"4,000,000"
,,116,BMC,CTCP Khoáng sản Bình Định,Nguyên vật liệu,HOSE,"12,392,630"
,,117,BMD,CTCP Môi trường và Dịch vụ Đô thị Bình Thuận,Dịch vụ tiện ích,UPCoM,"2,753,280"
,,118,BMF,CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai,Phân phối và bán lẻ hàng lâu bền,UPCoM,"15,848,063"
,,119,BMG,CTCP May Bình Minh,Hàng tiêu dùng và trang trí,UPCoM,"5,292,000"
,,120,BMI,Tổng Công ty cổ phần Bảo Minh,Bảo hiểm,HOSE,"120,585,408"
,,121,BMJ,CTCP Khoáng sản Miền Đông AHP,Nguyên vật liệu,UPCoM,"104,999,978"
,,122,BMN,CTCP 715,Tư liệu sản xuất,UPCoM,"2,750,000"
,,123,BMP,CTCP Nhựa Bình Minh,Nguyên vật liệu,HOSE,"81,860,938"
,,124,BMS,CTCP Chứng khoán Bảo Minh,Dịch vụ tài chính,UPCoM,"71,111,425"
,,125,BMV,CTCP Bột mỳ Vinafood 1,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"24,200,000"
,,126,BNA,CTCP Tập đoàn Đầu tư Bảo Ngọc,"Thực phẩm, đồ uống và thuốc lá",HNX,"24,999,855"
,,127,BNW,CTCP Nước sạch Bắc Ninh,Dịch vụ tiện ích,UPCoM,"37,549,391"
,,128,BOT,CTCP BOT Cầu Thái Hà,Tư liệu sản xuất,UPCoM,"59,246,800"
,,129,BPC,CTCP VICEM Bao bì Bỉm Sơn,Nguyên vật liệu,HNX,"3,800,000"
,,130,BQB,CTCP Bia Hà Nội - Quảng Bình,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"5,800,000"
,,131,BRC,CTCP Cao su Bến Thành,Xe và linh kiện,HOSE,"12,374,997"
,,132,BRR,CTCP Cao su Bà Rịa,Nguyên vật liệu,UPCoM,"112,500,000"
,,133,BRS,CTCP Dịch vụ Đô thị Bà Rịa,Dịch vụ tiện ích,UPCoM,"4,541,950"
,,134,BSA,CTCP Thủy điện Buôn Đôn,Dịch vụ tiện ích,UPCoM,"66,850,975"
,,135,BSC,CTCP Dịch vụ Bến Thành,Dịch vụ chuyên biệt và thương mại,HNX,"3,150,747"
,,136,BSD,"CTCP Bia, Rượu Sài Gòn - Đồng Xuân","Thực phẩm, đồ uống và thuốc lá",UPCoM,"3,000,000"
,,137,BSG,CTCP Xe khách Sài Gòn,Vận tải,UPCoM,"60,000,000"
,,138,BSH,CTCP Bia Sài Gòn - Hà Nội,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"18,000,000"
,,139,BSI,CTCP Chứng khoán BIDV,Dịch vụ tài chính,HOSE,"223,060,701"
,,140,BSL,CTCP Bia Sài Gòn - Sông Lam,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"45,000,000"
,,141,BSP,CTCP Bia Sài Gòn - Phú Thọ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"12,500,000"
,,142,BSQ,CTCP Bia Sài Gòn - Quảng Ngãi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"45,000,000"
,,143,BSR,CTCP Lọc hóa Dầu Bình Sơn,Năng lượng,UPCoM,"244,119,369"
,,144,BST,CTCP Sách và Thiết bị Bình Thuận,Truyền thông và giải trí,HNX,"1,100,000"
,,145,BT1,CTCP Bảo vệ Thực vật 1 Trung Ương,Nguyên vật liệu,UPCoM,"5,669,959"
,,146,BT6,CTCP Beton 6,Nguyên vật liệu,UPCoM,"32,993,550"
,,147,BTB,CTCP Bia Hà Nội - Thái Bình,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"7,691,226"
,,148,BTD,CTCP Bê tông Ly tâm Thủ Đức,Nguyên vật liệu,UPCoM,"6,414,100"
,,149,BTG,CTCP Bao bì Tiền Giang,Nguyên vật liệu,UPCoM,"1,190,000"
,,150,BTH,CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội,Hàng tiêu dùng và trang trí,UPCoM,"25,000,000"
,,151,BTN,CTCP Đầu tư Bitco Bình Định,Nguyên vật liệu,UPCoM,"4,465,570"
,,152,BTP,CTCP Nhiệt điện Bà Rịa,Dịch vụ tiện ích,HOSE,"60,485,600"
,,153,BTS,CTCP Xi măng VICEM Bút Sơn,Nguyên vật liệu,HNX,"123,559,858"
,,154,BTT,CTCP Thương mại Dịch vụ Bến Thành,Phân phối và bán lẻ hàng lâu bền,HOSE,"13,500,000"
,,155,BTU,CTCP Công trình Đô thị Bến Tre,Dịch vụ chuyên biệt và thương mại,UPCoM,"3,600,000"
,,156,BTV,CTCP Dịch vụ Du lịch Bến Thành,Dịch vụ tiêu dùng,UPCoM,"25,000,000"
