,,,,,,,
,,,,,,,
,,STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
,,799,MGR,CTCP Tập đoàn MGROUP,Phát triển và quản lý bất động sản,UPCoM,"20,000,000"
,,800,MH3,CTCP Khu Công nghiệp Cao su Bình Long,Phát triển và quản lý bất động sản,UPCoM,"24,000,000"
,,801,MHC,CTCP MHC,Vận tải,HOSE,"41,406,964"
,,802,MHL,CTCP Minh Hữu Liên,Hàng tiêu dùng và trang trí,UPCoM,"5,430,923"
,,803,MIC,CTCP Kỹ nghệ Khoáng sản Quảng Nam,Nguyên vật liệu,UPCoM,"5,544,946"
,,804,MIE,Tổng Công ty Máy và Thiết bị Công nghiệp - CTCP,Tư liệu sản xuất,UPCoM,"141,991,500"
,,805,MIG,Tổng Công ty cổ phần Bảo hiểm Quân Đội,Bảo hiểm,HOSE,"172,672,500"
,,806,MIM,CTCP Khoáng sản và Cơ khí,Nguyên vật liệu,UPCoM,"3,409,860"
,,807,MKP,CTCP Hoá - Dược phẩm Mekophar,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"25,545,867"
,,808,MKV,CTCP Dược thú Y Cai Lậy,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,"5,000,038"
,,809,MLC,CTCP Môi trường Đô thị Tỉnh Lào Cai,Dịch vụ tiện ích,UPCoM,"4,171,175"
,,810,MLS,CTCP Chăn nuôi - Mitraco,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"4,000,000"
,,811,MML,CTCP Masan MeatLife,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"327,417,947"
,,812,MNB,Tổng Công ty May Nhà Bè - CTCP,Hàng tiêu dùng và trang trí,UPCoM,"20,000,000"
,,813,MND,CTCP Môi trường Nam Định,Dịch vụ tiện ích,UPCoM,"2,194,475"
,,814,MPC,CTCP Tập đoàn Thủy sản Minh Phú,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"399,887,300"
,,815,MPT,CTCP Tập đoàn MPT,Hàng tiêu dùng và trang trí,UPCoM,"17,107,164"
,,816,MPY,CTCP Môi trường Đô thị Phú Yên,Dịch vụ tiện ích,UPCoM,"6,143,000"
,,817,MQB,CTCP Môi trường và Phát triển Đô thị Quảng Bình,Dịch vụ tiện ích,UPCoM,"3,675,675"
,,818,MQN,CTCP Môi trường đô thị Quảng Ngãi,Dịch vụ tiện ích,UPCoM,"7,018,925"
,,819,MRF,CTCP Merufa,Xe và linh kiện,UPCoM,"6,796,172"
,,820,MSB,Ngân hàng TMCP Hàng hải Việt Nam,Tổ chức tín dụng,HOSE,"2,600,000,000"
,,821,MSH,CTCP May Sông Hồng,Hàng tiêu dùng và trang trí,HOSE,"75,014,100"
,,822,MSN,CTCP Tập đoàn Masan,"Thực phẩm, đồ uống và thuốc lá",HOSE,"1,438,351,617"
,,823,MSR,CTCP Masan High-Tech Materials,Nguyên vật liệu,UPCoM,"1,099,155,420"
,,824,MST,CTCP Đầu tư MST,Tư liệu sản xuất,HNX,"76,004,301"
,,825,MTA,Tổng Công ty Khoáng sản và Thương mại Hà Tĩnh - CTCP,Nguyên vật liệu,UPCoM,"110,113,591"
,,826,MTB,CTCP Môi trường và Công trình Đô thị Tỉnh Thái Bình,Dịch vụ chuyên biệt và thương mại,UPCoM,"6,278,259"
,,827,MTC,CTCP Dịch vụ Du lịch Mỹ Trà,Dịch vụ tiêu dùng,UPCoM,"5,200,000"
,,828,MTG,CTCP MT Gas,Dịch vụ tiện ích,UPCoM,"10,450,000"
,,829,MTH,CTCP Môi trường Đô thị Hà Đông,Dịch vụ tiện ích,UPCoM,"4,787,910"
,,830,MTL,CTCP Dịch vụ Môi trường Đô thị Từ Liêm,Dịch vụ tiện ích,UPCoM,"6,000,000"
,,831,MTP,CTCP Dược Medipharco,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"7,455,406"
,,832,MTS,CTCP Vật tư - TKV,Phân phối và bán lẻ hàng lâu bền,UPCoM,"15,000,000"
,,833,MTV,CTCP Dịch vụ Môi trường và Công trình Đô thị Vũng Tàu,Dịch vụ tiện ích,UPCoM,"5,400,000"
,,834,MTX,CTCP Công trình Đô thị Gò Công,Dịch vụ chuyên biệt và thương mại,UPCoM,"645,000"
,,835,MVB,Tổng Công ty Công nghiệp mỏ Việt Bắc TKV - CTCP,Nguyên vật liệu,HNX,"105,000,000"
,,836,MVC,CTCP Vật liệu và Xây dựng Bình Dương,Phân phối và bán lẻ hàng lâu bền,UPCoM,"100,000,000"
,,837,MVN,Tổng Công ty Hàng hải Việt Nam - CTCP,Vận tải,UPCoM,"6,374,700"
,,838,MWG,CTCP Đầu tư Thế giới Di động,Phân phối và bán lẻ hàng lâu bền,HOSE,"1,462,244,177"
,,839,NAB,Ngân hàng TMCP Nam Á,Tổ chức tín dụng,HOSE,"1,322,550,553"
,,840,NAC,CTCP Tư vấn Xây dựng Tổng hợp,Dịch vụ chuyên biệt và thương mại,UPCoM,"2,835,000"
,,841,NAF,CTCP Nafoods Group,"Thực phẩm, đồ uống và thuốc lá",HOSE,"50,564,152"
,,842,NAG,CTCP Tập đoàn Nagakawa,Hàng tiêu dùng và trang trí,HNX,"31,646,541"
,,843,NAP,CTCP Cảng Nghệ Tĩnh,Vận tải,HNX,"21,517,200"
,,844,NAS,CTCP Dịch vụ Hàng không Sân bay Nội Bài,Vận tải,UPCoM,"8,315,764"
,,845,NAU,CTCP Môi trường Đô thị Nghệ An,Dịch vụ tiện ích,UPCoM,"3,669,999"
,,846,NAV,CTCP Nam Việt,Hàng tiêu dùng và trang trí,HOSE,"8,000,000"
,,847,NAW,CTCP Cấp nước Nghệ An,Dịch vụ tiện ích,UPCoM,"37,385,983"
,,848,NBB,CTCP Đầu tư Năm Bảy Bảy,Phát triển và quản lý bất động sản,HOSE,"100,475,656"
,,849,NBC,CTCP Than Núi Béo - Vinacomin,Năng lượng,HNX,"36,999,124"
,,850,NBE,CTCP Sách và Thiết bị Giáo dục Miền Bắc,Truyền thông và giải trí,UPCoM,"5,000,000"
,,851,NBP,CTCP Nhiệt điện Ninh Bình,Dịch vụ tiện ích,HNX,"12,865,500"
,,852,NBT,CTCP Cấp thoát nước Bến Tre,Dịch vụ tiện ích,UPCoM,"29,400,000"
,,853,NBW,CTCP Cấp nước Nhà Bè,Dịch vụ tiện ích,HNX,"10,900,000"
,,854,NCG,CTCP Tập đoàn Nova Consumer,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"119,784,325"
,,855,NCS,CTCP Suất ăn Hàng không Nội Bài,Vận tải,UPCoM,"17,949,098"
,,856,NCT,CTCP Dịch vụ Hàng hóa Nội Bài,Vận tải,HOSE,"26,166,940"
,,857,ND2,CTCP Đầu tư và Phát triển Điện Miền Bắc 2,Tư liệu sản xuất,UPCoM,"49,993,960"
,,858,NDC,CTCP Nam Dược,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"5,964,000"
,,859,NDF,CTCP Chế biến Thực phẩm Nông sản xuất khẩu Nam Định,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"7,853,800"
,,860,NDN,CTCP Đầu tư Phát triển Nhà Đà Nẵng,Phát triển và quản lý bất động sản,HNX,"71,657,936"
,,861,NDP,CTCP Dược phẩm 2/9,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"11,100,000"
,,862,NDT,Tổng Công ty cổ phần Dệt May Nam Định,Hàng tiêu dùng và trang trí,UPCoM,"15,639,976"
,,863,NDW,CTCP Cấp nước Nam Định,Dịch vụ tiện ích,UPCoM,"34,311,748"
,,864,NDX,CTCP Xây lắp Phát triển Nhà Đà Nẵng,Tư liệu sản xuất,HNX,"9,987,557"
,,865,NED,CTCP Đầu tư và Phát triển Điện Tây Bắc,Dịch vụ tiện ích,UPCoM,"40,500,000"
,,866,NEM,CTCP Thiết bị điện Miền Bắc,Hàng tiêu dùng và trang trí,UPCoM,"8,848,500"
,,867,NET,CTCP Bột giặt NET,Đồ gia dụng và cá nhân,HNX,"22,398,374"
,,868,NFC,CTCP Phân lân Ninh Bình,Nguyên vật liệu,HNX,"15,731,260"
,,869,NGC,CTCP Chế biến Thủy sản xuất khẩu Ngô Quyền,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"2,299,854"
,,870,NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Phát triển và quản lý bất động sản,HOSE,"44,174,520"
,,871,NHC,CTCP Gạch ngói Nhị Hiệp,Nguyên vật liệu,HNX,"3,041,542"
,,872,NHH,CTCP Nhựa Hà Nội,Tư liệu sản xuất,HOSE,"72,880,000"
,,873,NHP,CTCP Sản xuất Xuất nhập khẩu NHP,Nguyên vật liệu,UPCoM,"27,576,490"
,,874,NHT,CTCP Sản xuất và Thương mại Nam Hoa,Nguyên vật liệu,HOSE,"24,028,169"
,,875,NHV,CTCP Sức Khỏe Hồi Sinh Việt Nam,Phân phối và bán lẻ hàng lâu bền,UPCoM,"5,480,112"
,,876,NJC,CTCP May Nam Định,Hàng tiêu dùng và trang trí,UPCoM,"3,150,000"
,,877,NKG,CTCP Thép Nam Kim,Nguyên vật liệu,HOSE,"263,277,806"
,,878,NLG,CTCP Đầu tư Nam Long,Phát triển và quản lý bất động sản,HOSE,"384,777,471"
,,879,NLS,CTCP Cấp thoát nước Lạng Sơn,Dịch vụ tiện ích,UPCoM,"5,009,800"
,,880,NNC,CTCP Đá Núi Nhỏ,Nguyên vật liệu,HOSE,"21,920,000"
,,881,NNT,CTCP Cấp nước Ninh Thuận,Dịch vụ tiện ích,UPCoM,"9,490,841"
,,882,NO1,CTCP Tập đoàn 911,Phân phối và bán lẻ hàng lâu bền,HOSE,"24,000,000"
,,883,NOS,CTCP Vận tải biển và Thương mại Phương Đông,Vận tải,UPCoM,"20,056,000"
,,884,NQB,CTCP Cấp nước Quảng Bình,Dịch vụ tiện ích,UPCoM,"17,230,204"
,,885,NQN,CTCP Nước sạch Quảng Ninh,Dịch vụ tiện ích,UPCoM,"50,831,593"
,,886,NQT,CTCP Nước sạch Quảng Trị,Dịch vụ tiện ích,UPCoM,"18,233,269"
,,887,NRC,CTCP Tập Đoàn Danh Khôi,Phát triển và quản lý bất động sản,HNX,"92,597,762"
,,888,NS2,CTCP Nước sạch Số 2 Hà Nội,Dịch vụ tiện ích,UPCoM,"56,800,000"
,,889,NSC,CTCP Tập đoàn Giống cây trồng Việt Nam,"Thực phẩm, đồ uống và thuốc lá",HOSE,"17,586,988"
,,890,NSG,CTCP Nhựa Sài Gòn,Nguyên vật liệu,UPCoM,"8,639,208"
,,891,NSH,CTCP Tập Đoàn Nhôm Sông Hồng Shalumi,Nguyên vật liệu,HNX,"20,693,437"
,,892,NSL,CTCP Cấp nước Sơn La,Dịch vụ tiện ích,UPCoM,"10,000,000"
,,893,NSS,CTCP Nông Súc Sản Đồng Nai,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"10,263,942"
,,894,NST,CTCP Ngân Sơn,"Thực phẩm, đồ uống và thuốc lá",HNX,"11,202,003"
,,895,NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,Dịch vụ tiện ích,HOSE,"287,876,029"
,,896,NTB,CTCP Đầu tư Xây dựng và Khai thác Công trình Giao thông 584,Tư liệu sản xuất,UPCoM,"39,779,577"
,,897,NTC,CTCP Khu Công nghiệp Nam Tân Uyên,Phát triển và quản lý bất động sản,UPCoM,"23,999,980"
,,898,NTF,CTCP Dược - Vật tư Y tế Nghệ An,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"6,000,000"
,,899,NTH,CTCP Thủy điện Nước Trong,Dịch vụ tiện ích,HNX,"10,802,053"
,,900,NTL,CTCP Phát triển Đô thị Từ Liêm,Phát triển và quản lý bất động sản,HOSE,"121,979,900"
,,901,NTP,CTCP Nhựa Thiếu niên Tiền Phong,Nguyên vật liệu,HNX,"142,532,284"
,,902,NTT,CTCP Dệt - May Nha Trang,Hàng tiêu dùng và trang trí,UPCoM,"23,500,000"
,,903,NTW,CTCP Cấp nước Nhơn Trạch,Dịch vụ tiện ích,UPCoM,"10,000,000"
,,904,NUE,CTCP Môi trường Đô thị Nha Trang,Dịch vụ tiện ích,UPCoM,"6,000,000"
,,905,NVB,Ngân hàng TMCP Quốc Dân,Tổ chức tín dụng,HNX,"560,155,587"
,,906,NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va,Phát triển và quản lý bất động sản,HOSE,"1,950,104,538"
,,907,NVP,CTCP Nước sạch Vĩnh Phúc,Dịch vụ tiện ích,UPCoM,"10,963,000"
,,908,NVT,CTCP Bất động sản Du lịch Ninh Vân Bay,Dịch vụ tiêu dùng,HOSE,"90,500,000"
,,909,NWT,CTCP Vận tải Newway,Vận tải,UPCoM,"8,500,000"
,,910,NXT,CTCP Sản xuất và Cung ứng Vật liệu Xây dựng Kon Tum,Phân phối và bán lẻ hàng lâu bền,UPCoM,"6,600,000"
,,911,OCB,Ngân hàng TMCP Phương Đông,Tổ chức tín dụng,HOSE,"2,465,789,152"
,,912,OCH,CTCP One Capital Hospitality,Dịch vụ tiêu dùng,HNX,"200,000,000"
,,913,ODE,CTCP Tập đoàn Truyền thông và Giải trí ODE,Dịch vụ chuyên biệt và thương mại,UPCoM,"10,000,000"
,,914,OGC,CTCP Tập đoàn Đại Dương,"Thực phẩm, đồ uống và thuốc lá",HOSE,"300,000,000"
,,915,OIL,Tổng Công ty Dầu Việt Nam - CTCP,Phân phối và bán lẻ hàng lâu bền,UPCoM,"201,425,936"
,,916,ONE,CTCP Công nghệ One,Dịch vụ viễn thông,HNX,"7,960,310"
,,917,ONW,CTCP Dịch vụ Một Thế Giới,Dịch vụ tiêu dùng,UPCoM,"2,000,000"
,,918,OPC,CTCP Dược phẩm OPC,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,"64,050,892"
,,919,ORS,CTCP Chứng khoán Tiên Phong,Dịch vụ tài chính,HOSE,"335,999,743"
,,920,PAC,CTCP Pin Ắc quy Miền Nam,Hàng tiêu dùng và trang trí,HOSE,"46,471,707"
,,921,PAI,CTCP Công nghệ thông tin Viễn thông và Tự động hóa Dầu Khí,Phần mềm và dịch vụ,UPCoM,"4,235,290"
,,922,PAN,CTCP Tập đoàn PAN,"Thực phẩm, đồ uống và thuốc lá",HOSE,"216,294,580"
,,923,PAP,CTCP Dầu khí Đầu tư Khai thác Cảng Phước An,Vận tải,UPCoM,"200,000,000"
,,924,PAS,CTCP Quốc tế Phương Anh,Nguyên vật liệu,UPCoM,"28,049,968"
,,925,PAT,CTCP Phốt Pho Apatit Việt Nam,Nguyên vật liệu,UPCoM,"25,000,000"
,,926,PBC,CTCP Dược phẩm Trung Ương 1- Pharbaco,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"113,299,902"
,,927,PBP,CTCP Bao bì Dầu khí Việt Nam,Nguyên vật liệu,HNX,"4,799,516"
,,928,PBT,CTCP Bao bì và Thương mại dầu khí Bình Sơn,Nguyên vật liệu,UPCoM,"17,522,284"
,,929,PC1,CTCP Tập Đoàn PC1,Tư liệu sản xuất,HOSE,"310,995,558"
,,930,PCC,CTCP Tập đoàn Xây lắp 1 - Petrolimex,Tư liệu sản xuất,UPCoM,"11,500,000"
,,931,PCE,CTCP Phân bón và Hóa chất Dầu khí Miền Trung,Nguyên vật liệu,HNX,"10,000,000"
,,932,PCF,CTCP Cà phê PETEC,Phân phối và bán lẻ hàng lâu bền,UPCoM,"3,000,000"
,,933,PCG,CTCP Đầu tư Phát triển Gas Đô thị,Dịch vụ tiện ích,HNX,"18,870,000"
,,934,PCH,CTCP Nhựa Picomat,Nguyên vật liệu,HNX,"24,199,964"
,,935,PCM,CTCP Vật liệu Xây dựng Bưu điện,Công nghệ phần cứng và thiết bị,UPCoM,"4,000,000"
,,936,PCN,CTCP Hóa phẩm Dầu khí DMC - Miền Bắc,Phân phối và bán lẻ hàng lâu bền,UPCoM,"3,924,550"
,,937,PCT,CTCP Vận tải biển Global Pacific,Phân phối và bán lẻ hàng lâu bền,HNX,"50,035,493"
,,938,PDB,CTCP Tập đoàn Đầu tư Din Capital,Nguyên vật liệu,HNX,"8,909,981"
,,939,PDC,CTCP Du lịch Dầu khí Phương Đông,Dịch vụ tiêu dùng,UPCoM,"15,000,000"
,,940,PDN,CTCP Cảng Đồng Nai,Vận tải,HOSE,"37,043,908"
,,941,PDR,CTCP Phát triển Bất động sản Phát Đạt,Phát triển và quản lý bất động sản,HOSE,"873,140,083"
,,942,PDV,CTCP Vận Tải Và Tiếp Vận Phương Đông Việt,Vận tải,UPCoM,"43,087,331"
,,943,PEC,CTCP Cơ khí Điện lực,Nguyên vật liệu,UPCoM,"3,115,409"
,,944,PEG,Tổng Công ty Thương mại Kỹ thuật và Đầu tư - CTCP,Phân phối và bán lẻ hàng lâu bền,UPCoM,"231,898,919"
,,945,PEN,CTCP Xây lắp III Petrolimex,Tư liệu sản xuất,HNX,"5,000,000"
,,946,PEQ,CTCP Thiết bị Xăng dầu Petrolimex,Phân phối và bán lẻ hàng lâu bền,UPCoM,"4,965,514"
,,947,PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Phân phối và bán lẻ hàng lâu bền,HOSE,"107,334,831"
,,948,PFL,CTCP Dầu khí Đông Đô,Tư liệu sản xuất,UPCoM,"50,000,000"
,,949,PGB,Ngân hàng TMCP Thịnh vượng và Phát triển,Tổ chức tín dụng,UPCoM,"420,000,000"
,,950,PGC,Tổng Công ty Gas Petrolimex - CTCP,Dịch vụ tiện ích,HOSE,"60,342,638"
,,951,PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,Dịch vụ tiện ích,HOSE,"98,998,266"
,,952,PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,Bảo hiểm,HOSE,"110,896,796"
,,953,PGN,CTCP Phụ Gia Nhựa,Đồ gia dụng và cá nhân,HNX,"9,464,859"
,,954,PGS,CTCP Kinh doanh Khí Miền Nam,Dịch vụ tiện ích,HNX,"50,000,000"
,,955,PGT,CTCP PGT Holdings,Vận tải,HNX,"9,241,801"
,,956,PGV,Tổng Công ty Phát điện 3 - CTCP,Dịch vụ tiện ích,HOSE,"1,123,468,046"
,,957,PHC,CTCP Xây dựng Phục Hưng Holdings,Tư liệu sản xuất,HOSE,"50,602,094"
,,958,PHH,CTCP Hồng Hà Việt Nam,Tư liệu sản xuất,UPCoM,"20,000,000"
,,959,PHN,CTCP Pin Hà Nội,Hàng tiêu dùng và trang trí,HNX,"7,253,911"
,,960,PHP,CTCP Cảng Hải Phòng,Vận tải,UPCoM,"326,960,000"
,,961,PHR,CTCP Cao su Phước Hòa,Nguyên vật liệu,HOSE,"135,499,198"
,,962,PHS,CTCP Chứng khoán Phú Hưng,Dịch vụ tài chính,UPCoM,"150,009,819"
,,963,PIA,CTCP Tin học Viễn thông Petrolimex,Phần mềm và dịch vụ,HNX,"3,900,000"
,,964,PIC,CTCP Đầu tư Điện lực 3,Dịch vụ tiện ích,HNX,"33,339,891"
,,965,PID,CTCP Trang Trí Nội Thất Dầu khí,Dịch vụ chuyên biệt và thương mại,UPCoM,"4,000,000"
,,966,PIS,Tổng Công ty Pisico Bình Định - CTCP,Nguyên vật liệu,UPCoM,"27,500,000"
,,967,PIT,CTCP Xuất nhập khẩu Petrolimex,Phân phối và bán lẻ hàng lâu bền,HOSE,"15,199,345"
,,968,PIV,CTCP PIV,Phân phối và bán lẻ hàng lâu bền,UPCoM,"17,324,942"
,,969,PJC,CTCP Thương mại và Vận tải Petrolimex Hà Nội,Vận tải,HNX,"7,326,928"
,,970,PJS,CTCP Cấp nước Phú Hòa Tân,Dịch vụ tiện ích,UPCoM,"9,000,000"
,,971,PJT,CTCP Vận tải Xăng dầu đường Thủy Petrolimex,Vận tải,HOSE,"24,882,785"
,,972,PLA,CTCP Đầu tư và Dịch vụ Hạ tầng Xăng dầu,Phát triển và quản lý bất động sản,UPCoM,"10,000,000"
,,973,PLC,Tổng Công ty Hóa dầu Petrolimex - CTCP,Nguyên vật liệu,HNX,"80,798,839"
,,974,PLE,CTCP Tư vấn Xây dựng Petrolimex,Dịch vụ chuyên biệt và thương mại,UPCoM,"1,215,000"
,,975,PLO,CTCP Kho Vận Petec,Phân phối và bán lẻ hàng lâu bền,UPCoM,"7,192,550"
,,976,PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,Nguyên vật liệu,HOSE,"70,000,000"
,,977,PLX,Tập đoàn Xăng Dầu Việt Nam,Phân phối và bán lẻ hàng lâu bền,HOSE,"1,293,878,081"
,,978,PMB,CTCP Phân bón và Hóa chất Dầu khí Miền Bắc,Nguyên vật liệu,HNX,"12,000,000"
,,979,PMC,CTCP Dược phẩm Dược liệu Pharmedic,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,"9,332,573"
,,980,PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung,Phân phối và bán lẻ hàng lâu bền,HOSE,"46,336,278"
,,981,PMJ,CTCP Vật tư Bưu Điện,Phân phối và bán lẻ hàng lâu bền,UPCoM,"1,800,000"
,,982,PMP,CTCP Bao bì đạm Phú Mỹ,Nguyên vật liệu,HNX,"4,200,000"
,,983,PMS,CTCP Cơ khí Xăng dầu,Nguyên vật liệu,HNX,"7,227,662"
,,984,PMT,CTCP Viễn thông TELVINA Việt Nam,Dịch vụ viễn thông,UPCoM,"5,000,000"
,,985,PMW,CTCP Cấp nước Phú Mỹ,Dịch vụ tiện ích,UPCoM,"49,999,832"
,,986,PNC,CTCP Văn hóa Phương Nam,Phân phối và bán lẻ hàng lâu bền,HOSE,"11,040,241"
,,987,PND,CTCP Xăng dầu Dầu khí Nam Định,Phân phối và bán lẻ hàng lâu bền,UPCoM,"6,666,666"
,,988,PNG,CTCP Thương mại Phú Nhuận,Phân phối và bán lẻ hàng lâu bền,UPCoM,"9,000,000"
,,989,PNJ,CTCP Vàng bạc Đá quý Phú Nhuận,Phân phối và bán lẻ hàng lâu bền,HOSE,"334,729,180"
,,990,PNP,CTCP Tân Cảng - Phú Hữu,Vận tải,UPCoM,"16,100,000"
,,991,PNT,CTCP Kỹ thuật Xây dựng Phú Nhuận,Phát triển và quản lý bất động sản,UPCoM,"9,282,802"
,,992,POB,CTCP Xăng dầu Dầu khí Thái Bình,Phân phối và bán lẻ hàng lâu bền,UPCoM,"10,900,000"
,,993,POM,CTCP Thép Pomina,Nguyên vật liệu,UPCoM,"279,676,336"
,,994,POS,"CTCP Dịch vụ Lắp đặt, Vận hành và Bảo dưỡng Công trình Dầu khí Biển PTSC",Năng lượng,UPCoM,"40,000,000"
,,995,POT,CTCP Thiết bị Bưu điện,Công nghệ phần cứng và thiết bị,HNX,"19,430,006"
,,996,POV,CTCP Xăng dầu Dầu khí Vũng Áng,Phân phối và bán lẻ hàng lâu bền,UPCoM,"12,499,612"
,,997,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,Dịch vụ tiện ích,HOSE,"2,341,871,600"
,,998,PPC,CTCP Nhiệt điện Phả Lại,Dịch vụ tiện ích,HOSE,"326,235,000"
,,999,PPE,CTCP Tư vấn đầu tư PP Enterprise,Dịch vụ chuyên biệt và thương mại,HNX,"2,000,000"
,,1000,PPH,Tổng Công ty cổ phần Phong Phú,Hàng tiêu dùng và trang trí,UPCoM,"74,670,891"
,,1001,PPI,CTCP Đầu tư và Phát triển Dự án Hạ tầng Thái Bình Dương,Phát triển và quản lý bất động sản,UPCoM,"48,290,629"
,,1002,PPP,CTCP Dược phẩm Phong Phú,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,"8,799,991"
,,1003,PPS,CTCP Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Tư liệu sản xuất,HNX,"15,000,000"
,,1004,PPT,CTCP Petro Times,Phân phối và bán lẻ hàng lâu bền,HNX,"17,324,988"
,,1005,PPY,CTCP Xăng dầu Dầu khí Phú Yên,Phân phối và bán lẻ hàng lâu bền,HNX,"9,343,974"
,,1006,PQN,CTCP Dịch vụ Dầu khí Quảng Ngãi PTSC,Tư liệu sản xuất,UPCoM,"30,000,000"
,,1007,PRC,CTCP Logistics Portserco,Vận tải,HNX,"1,200,000"
,,1008,PRE,Tổng Công ty cổ phần Tái bảo hiểm Hà Nội,Bảo hiểm,HNX,"104,400,000"
,,1009,PRO,CTCP Procimex Việt Nam,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"3,000,000"
,,1010,PRT,Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCP,Hàng tiêu dùng và trang trí,UPCoM,"300,000,000"
,,1011,PSB,CTCP Đầu tư Dầu khí Sao Mai - Bến Đình,Năng lượng,UPCoM,"50,000,000"
,,1012,PSC,CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn,Phân phối và bán lẻ hàng lâu bền,HNX,"7,200,000"
,,1013,PSD,CTCP Dịch vụ Phân phối Tổng hợp Dầu khí,Phân phối và bán lẻ hàng lâu bền,HNX,"51,827,894"
,,1014,PSE,CTCP Phân Bón và Hóa Chất Dầu khí Đông Nam Bộ,Nguyên vật liệu,HNX,"12,500,000"
,,1015,PSG,CTCP Đầu Tư và Xây lắp Dầu khí Sài Gòn,Phát triển và quản lý bất động sản,UPCoM,"35,000,000"
,,1016,PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,Phân phối và bán lẻ hàng lâu bền,HOSE,"126,196,780"
,,1017,PSI,CTCP Chứng khoán Dầu khí,Dịch vụ tài chính,HNX,"59,841,300"
,,1018,PSL,CTCP Chăn nuôi Phú Sơn,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"11,812,500"
,,1019,PSN,CTCP Dịch Vụ Kỹ Thuật PTSC Thanh Hóa,Vận tải,UPCoM,"40,000,000"
,,1020,PSP,CTCP Cảng Dịch vụ Dầu khí Đình Vũ,Vận tải,UPCoM,"40,000,000"
,,1021,PSW,CTCP Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Nguyên vật liệu,HNX,"17,000,000"
,,1022,PTB,CTCP Phú Tài,Nguyên vật liệu,HOSE,"66,938,403"
,,1023,PTC,CTCP Đầu Tư Icapital,Tư liệu sản xuất,HOSE,"32,307,324"
,,1024,PTD,CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,Tư liệu sản xuất,HNX,"4,999,933"
,,1025,PTE,CTCP Xi măng Phú Thọ,Nguyên vật liệu,UPCoM,"12,500,000"
,,1026,PTG,CTCP May Xuất khẩu Phan Thiết,Hàng tiêu dùng và trang trí,UPCoM,"4,996,185"
,,1027,PTH,CTCP Vận tải và Dịch vụ Petrolimex Hà Tây,Phân phối và bán lẻ hàng lâu bền,UPCoM,"3,503,164"
,,1028,PTI,Tổng Công ty cổ phần Bảo hiểm Bưu điện,Bảo hiểm,HNX,"80,395,709"
,,1029,PTL,CTCP Victory Capital,Phát triển và quản lý bất động sản,HOSE,"100,000,000"
,,1030,PTO,CTCP Dịch vụ - Xây dựng Công trình Bưu Điện,Tư liệu sản xuất,UPCoM,"1,200,000"
,,1031,PTP,CTCP Dịch vụ Viễn thông và In Bưu điện,Dịch vụ viễn thông,UPCoM,"6,800,000"
,,1032,PTS,CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng,Vận tải,HNX,"5,568,000"
,,1033,PTT,CTCP Vận tải Dầu khí Đông Dương,Vận tải,UPCoM,"16,493,172"
,,1034,PTV,CTCP Thương mại Dầu khí,Phân phối và bán lẻ hàng lâu bền,UPCoM,"20,000,000"
,,1035,PTX,CTCP Vận tải và Dịch vụ Petrolimex Nghệ Tĩnh,Phân phối và bán lẻ hàng lâu bền,HNX,"6,432,453"
